,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
30,Brooklyn,Mill Island,40.606336421685626,-73.90818571777423,10,Pool,Locksmith,Women's Store,Fish & Chips Shop,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant
31,Brooklyn,Manhattan Beach,40.57791350308657,-73.94353722891886,11,Bus Stop,Café,Ice Cream Shop,Sandwich Place,Playground,Pizza Place,Beach,Falafel Restaurant,Farm,Farmers Market
32,Brooklyn,Coney Island,40.57429256471601,-73.98868295821637,3,Monument / Landmark,Baseball Stadium,Brewery,Theme Park Ride / Attraction,Cosmetics Shop,Pharmacy,Caribbean Restaurant,Farmers Market,Skating Rink,Music Venue
33,Brooklyn,Bath Beach,40.59951870282238,-73.99875221443519,11,Pizza Place,Pharmacy,Chinese Restaurant,Donut Shop,Italian Restaurant,Bubble Tea Shop,Peruvian Restaurant,Gas Station,Fast Food Restaurant,Sports Bar
34,Brooklyn,Borough Park,40.633130512758015,-73.99049823044811,11,Bank,Pizza Place,Deli / Bodega,Fast Food Restaurant,Pharmacy,Hotel,Coffee Shop,Café,Men's Store,Farmers Market
35,Brooklyn,Dyker Heights,40.619219457722636,-74.01931375636022,3,Grocery Store,Dance Studio,Burger Joint,Golf Course,Playground,Bagel Shop,Field,Factory,Falafel Restaurant,Farm
36,Brooklyn,Gerritsen Beach,40.590848433902046,-73.93010170691196,3,Bar,Pizza Place,Deli / Bodega,Harbor / Marina,Martial Arts School,Gas Station,Boat or Ferry,Grocery Store,Baseball Field,Seafood Restaurant
37,Brooklyn,Marine Park,40.609747779894604,-73.93134404108497,11,Deli / Bodega,Pharmacy,Chinese Restaurant,Basketball Court,Baseball Field,Gym,Coffee Shop,Athletics & Sports,Pizza Place,Soccer Field
38,Brooklyn,Clinton Hill,40.693229421881504,-73.96784306216367,3,Pizza Place,Italian Restaurant,Thai Restaurant,Mexican Restaurant,Wine Shop,Caribbean Restaurant,Restaurant,Diner,Yoga Studio,Japanese Restaurant
39,Brooklyn,Sea Gate,40.57637537890224,-74.0078731120024,3,Bus Station,Home Service,Business Service,Beach,Sports Club,Spa,American Restaurant,Food & Drink Shop,Food,Flower Shop
40,Brooklyn,Downtown,40.69084402109802,-73.98346337431099,3,Coffee Shop,Burger Joint,Pizza Place,Sandwich Place,Chinese Restaurant,Arts & Crafts Store,Bakery,Middle Eastern Restaurant,Bar,Juice Bar
41,Brooklyn,Boerum Hill,40.685682912091444,-73.98374824115798,3,Dance Studio,Coffee Shop,Bar,French Restaurant,Furniture / Home Store,Bakery,Sandwich Place,Arts & Crafts Store,Yoga Studio,Cocktail Bar
42,Brooklyn,Prospect Lefferts Gardens,40.658420017469815,-73.95489867077713,11,Pizza Place,Café,Caribbean Restaurant,Bakery,Indian Restaurant,Wine Shop,Deli / Bodega,Sushi Restaurant,Supermarket,Coffee Shop
43,Brooklyn,Ocean Hill,40.678402554795355,-73.91306831787395,11,Deli / Bodega,Bakery,Fried Chicken Joint,Southern / Soul Food Restaurant,Ice Cream Shop,Coffee Shop,Bus Line,Playground,Mexican Restaurant,Supermarket
44,Brooklyn,City Line,40.67856995727479,-73.86797598081334,11,Donut Shop,Pharmacy,Grocery Store,Fried Chicken Joint,Liquor Store,Metro Station,Mexican Restaurant,Diner,Mobile Phone Shop,Bus Line
45,Brooklyn,Bergen Beach,40.61514955045308,-73.89855633630317,3,Harbor / Marina,Baseball Field,Athletics & Sports,Park,Hockey Field,Playground,Factory,Falafel Restaurant,Farm,Farmers Market
46,Brooklyn,Midwood,40.62559589869843,-73.95759523489838,11,Pizza Place,Ice Cream Shop,Market,Candy Store,Video Game Store,Convenience Store,Bakery,Bagel Shop,Pharmacy,Women's Store
47,Brooklyn,Prospect Park South,40.647008603185185,-73.96261316716048,11,Caribbean Restaurant,Mobile Phone Shop,Pizza Place,Fried Chicken Joint,Grocery Store,Fast Food Restaurant,Department Store,Mexican Restaurant,Kids Store,Latin American Restaurant
48,Brooklyn,Georgetown,40.62384524478419,-73.91607483951324,11,Bank,Donut Shop,Pharmacy,Breakfast Spot,Mexican Restaurant,Supplement Shop,Frozen Yogurt Shop,Seafood Restaurant,Clothing Store,Shipping Store
49,Brooklyn,East Williamsburg,40.70849241041548,-73.93885815269195,3,Bar,Deli / Bodega,Bakery,Cocktail Bar,Sandwich Place,Café,Mexican Restaurant,Concert Hall,Coffee Shop,Donut Shop
50,Brooklyn,North Side,40.714822906532014,-73.95880857587582,3,Coffee Shop,Bar,Pizza Place,Bakery,Yoga Studio,American Restaurant,Wine Bar,Jewelry Store,Ice Cream Shop,Vegetarian / Vegan Restaurant
51,Brooklyn,South Side,40.71086147265064,-73.95800095153331,3,Bar,Coffee Shop,Pizza Place,American Restaurant,Wine Bar,Yoga Studio,Dive Bar,Mediterranean Restaurant,South American Restaurant,Chinese Restaurant
52,Brooklyn,Ocean Parkway,40.61305976667942,-73.96836678035541,11,Pizza Place,Sushi Restaurant,Playground,Gym,Spa,Bus Station,Bus Stop,Steakhouse,Men's Store,Sake Bar
53,Brooklyn,Fort Hamilton,40.61476812694226,-74.03197914537984,11,Pizza Place,Deli / Bodega,Pharmacy,Sandwich Place,Chinese Restaurant,Italian Restaurant,Bus Stop,Cocktail Bar,Japanese Restaurant,Bank
54,Brooklyn,Ditmas Park,40.643675183340974,-73.96101312466779,11,Chinese Restaurant,Fried Chicken Joint,Deli / Bodega,Pizza Place,Pharmacy,Metro Station,Kids Store,Donut Shop,Department Store,Supermarket
55,Brooklyn,Wingate,40.66094656188111,-73.93718680559314,11,Fried Chicken Joint,Field,Liquor Store,Burger Joint,Bus Station,Food,Flower Shop,Fish & Chips Shop,Fast Food Restaurant,Gym / Fitness Center
56,Brooklyn,Rugby,40.655572313280764,-73.92688212616955,11,Caribbean Restaurant,Grocery Store,Bank,Sandwich Place,Wings Joint,Pizza Place,Diner,Mobile Phone Shop,Fried Chicken Joint,Pharmacy
57,Brooklyn,Remsen Village,40.652117451793494,-73.91665331978048,11,Caribbean Restaurant,Fast Food Restaurant,Donut Shop,Gym,Café,Sandwich Place,Supermarket,Pharmacy,Gas Station,Construction & Landscaping
58,Brooklyn,New Lots,40.6627442796966,-73.88511776379292,11,Spanish Restaurant,Pizza Place,Fried Chicken Joint,Grocery Store,Deli / Bodega,Bus Station,Chinese Restaurant,Discount Store,Plaza,Art Gallery
59,Brooklyn,Paerdegat Basin,40.63131755039667,-73.90233474295836,12,Gym,Food,Child Care Service,Shipping Store,Harbor / Marina,Women's Store,Farmers Market,Factory,Falafel Restaurant,Farm
60,Brooklyn,Mill Basin,40.61597423962336,-73.91515391550404,11,Pizza Place,Chinese Restaurant,Japanese Restaurant,Gym,Bagel Shop,Cosmetics Shop,Bank,Breakfast Spot,Sandwich Place,Donut Shop
