,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
19,Coventry, Finham,52.38730632763749,-1.5028970982345609,4,Convenience Store,Chinese Restaurant,Pizza Place,Wine Shop,Coffee Shop,Historic Site,Gym / Fitness Center,Grocery Store,General Entertainment,Furniture / Home Store
20,Coventry, Fenside,52.38730632763749,-1.5028970982345609,4,Convenience Store,Chinese Restaurant,Pizza Place,Wine Shop,Coffee Shop,Historic Site,Gym / Fitness Center,Grocery Store,General Entertainment,Furniture / Home Store
21,Coventry, Stoke Aldermoor,52.38730632763749,-1.5028970982345609,4,Convenience Store,Chinese Restaurant,Pizza Place,Wine Shop,Coffee Shop,Historic Site,Gym / Fitness Center,Grocery Store,General Entertainment,Furniture / Home Store
22,Coventry, Green Lane,52.38730632763749,-1.5028970982345609,4,Convenience Store,Chinese Restaurant,Pizza Place,Wine Shop,Coffee Shop,Historic Site,Gym / Fitness Center,Grocery Store,General Entertainment,Furniture / Home Store
23,Coventry, Ernesford Grange,52.38730632763749,-1.5028970982345609,4,Convenience Store,Chinese Restaurant,Pizza Place,Wine Shop,Coffee Shop,Historic Site,Gym / Fitness Center,Grocery Store,General Entertainment,Furniture / Home Store
24,Coventry, Binley Woods,52.38730632763749,-1.5028970982345609,4,Convenience Store,Chinese Restaurant,Pizza Place,Wine Shop,Coffee Shop,Historic Site,Gym / Fitness Center,Grocery Store,General Entertainment,Furniture / Home Store
25,Coventry,Tile Hill,52.375322,-1.5551956,2,Music Venue,Café,Wine Shop,Convenience Store,Historic Site,Gym / Fitness Center,Grocery Store,General Entertainment,Furniture / Home Store,Fish & Chips Shop
26,Coventry, Canley,52.375322,-1.5551956,2,Music Venue,Café,Wine Shop,Convenience Store,Historic Site,Gym / Fitness Center,Grocery Store,General Entertainment,Furniture / Home Store,Fish & Chips Shop
27,Coventry, Cannon Park,52.375322,-1.5551956,2,Music Venue,Café,Wine Shop,Convenience Store,Historic Site,Gym / Fitness Center,Grocery Store,General Entertainment,Furniture / Home Store,Fish & Chips Shop
28,Coventry, Lime Tree Park,52.375322,-1.5551956,2,Music Venue,Café,Wine Shop,Convenience Store,Historic Site,Gym / Fitness Center,Grocery Store,General Entertainment,Furniture / Home Store,Fish & Chips Shop
29,Coventry, Gibbet Hill,52.375322,-1.5551956,2,Music Venue,Café,Wine Shop,Convenience Store,Historic Site,Gym / Fitness Center,Grocery Store,General Entertainment,Furniture / Home Store,Fish & Chips Shop
30,Coventry, Westwood Heath,52.375322,-1.5551956,2,Music Venue,Café,Wine Shop,Convenience Store,Historic Site,Gym / Fitness Center,Grocery Store,General Entertainment,Furniture / Home Store,Fish & Chips Shop
31,Coventry, University of Warwick,52.375322,-1.5551956,2,Music Venue,Café,Wine Shop,Convenience Store,Historic Site,Gym / Fitness Center,Grocery Store,General Entertainment,Furniture / Home Store,Fish & Chips Shop
32,Coventry,Allesley,52.40046043333333,-1.5313480333333336,0,Indian Restaurant,Pub,Italian Restaurant,Beer Store,Park,Persian Restaurant,Café,Sandwich Place,Restaurant,Liquor Store
33,Coventry, Allesley Park,52.40046043333333,-1.5313480333333336,0,Indian Restaurant,Pub,Italian Restaurant,Beer Store,Park,Persian Restaurant,Café,Sandwich Place,Restaurant,Liquor Store
34,Coventry, Allesley Green,52.40046043333333,-1.5313480333333336,0,Indian Restaurant,Pub,Italian Restaurant,Beer Store,Park,Persian Restaurant,Café,Sandwich Place,Restaurant,Liquor Store
35,Coventry, Earlsdon,52.40046043333333,-1.5313480333333336,0,Indian Restaurant,Pub,Italian Restaurant,Beer Store,Park,Persian Restaurant,Café,Sandwich Place,Restaurant,Liquor Store
36,Coventry, Eastern Green,52.40046043333333,-1.5313480333333336,0,Indian Restaurant,Pub,Italian Restaurant,Beer Store,Park,Persian Restaurant,Café,Sandwich Place,Restaurant,Liquor Store
37,Coventry, Whoberley,52.40046043333333,-1.5313480333333336,0,Indian Restaurant,Pub,Italian Restaurant,Beer Store,Park,Persian Restaurant,Café,Sandwich Place,Restaurant,Liquor Store
38,Coventry, Chapelfields,52.40046043333333,-1.5313480333333336,0,Indian Restaurant,Pub,Italian Restaurant,Beer Store,Park,Persian Restaurant,Café,Sandwich Place,Restaurant,Liquor Store
39,Coventry, Mount Nod,52.40046043333333,-1.5313480333333336,0,Indian Restaurant,Pub,Italian Restaurant,Beer Store,Park,Persian Restaurant,Café,Sandwich Place,Restaurant,Liquor Store
40,Coventry, Brownshill Green,52.40046043333333,-1.5313480333333336,0,Indian Restaurant,Pub,Italian Restaurant,Beer Store,Park,Persian Restaurant,Café,Sandwich Place,Restaurant,Liquor Store
41,Coventry,Holbrooks,52.429892349830865,-1.5193316097304195,8,Wine Shop,Grocery Store,Supermarket,Men's Store,Sandwich Place,Pizza Place,Clothing Store,General Entertainment,Furniture / Home Store,Fish & Chips Shop
42,Coventry, Coundon,52.429892349830865,-1.5193316097304195,8,Wine Shop,Grocery Store,Supermarket,Men's Store,Sandwich Place,Pizza Place,Clothing Store,General Entertainment,Furniture / Home Store,Fish & Chips Shop
43,Coventry, Radford,52.429892349830865,-1.5193316097304195,8,Wine Shop,Grocery Store,Supermarket,Men's Store,Sandwich Place,Pizza Place,Clothing Store,General Entertainment,Furniture / Home Store,Fish & Chips Shop
44,Coventry, Longford,52.429892349830865,-1.5193316097304195,8,Wine Shop,Grocery Store,Supermarket,Men's Store,Sandwich Place,Pizza Place,Clothing Store,General Entertainment,Furniture / Home Store,Fish & Chips Shop
45,Coventry, Rowley's Green,52.429892349830865,-1.5193316097304195,8,Wine Shop,Grocery Store,Supermarket,Men's Store,Sandwich Place,Pizza Place,Clothing Store,General Entertainment,Furniture / Home Store,Fish & Chips Shop
46,Coventry, Courthouse Green,52.429892349830865,-1.5193316097304195,8,Wine Shop,Grocery Store,Supermarket,Men's Store,Sandwich Place,Pizza Place,Clothing Store,General Entertainment,Furniture / Home Store,Fish & Chips Shop
47,Coventry, Whitmore Park,52.429892349830865,-1.5193316097304195,8,Wine Shop,Grocery Store,Supermarket,Men's Store,Sandwich Place,Pizza Place,Clothing Store,General Entertainment,Furniture / Home Store,Fish & Chips Shop
48,Coventry, Hawkesbury,52.429892349830865,-1.5193316097304195,8,Wine Shop,Grocery Store,Supermarket,Men's Store,Sandwich Place,Pizza Place,Clothing Store,General Entertainment,Furniture / Home Store,Fish & Chips Shop
49,Coventry,Weddington,52.430327950000006,-1.5328284720570369,1,Liquor Store,Pub,Wine Shop,Coffee Shop,Gym / Fitness Center,Grocery Store,General Entertainment,Furniture / Home Store,Fish & Chips Shop,Fast Food Restaurant
50,Coventry, Stockingford,52.430327950000006,-1.5328284720570369,1,Liquor Store,Pub,Wine Shop,Coffee Shop,Gym / Fitness Center,Grocery Store,General Entertainment,Furniture / Home Store,Fish & Chips Shop,Fast Food Restaurant
51,Coventry, Camp Hill,52.430327950000006,-1.5328284720570369,1,Liquor Store,Pub,Wine Shop,Coffee Shop,Gym / Fitness Center,Grocery Store,General Entertainment,Furniture / Home Store,Fish & Chips Shop,Fast Food Restaurant
52,Coventry, Galley Common,52.430327950000006,-1.5328284720570369,1,Liquor Store,Pub,Wine Shop,Coffee Shop,Gym / Fitness Center,Grocery Store,General Entertainment,Furniture / Home Store,Fish & Chips Shop,Fast Food Restaurant
